Time,Strike,Term,Instrument Type,Strategy,Type,Qty,CC,Product,Description,Price,Watch,RFQ,Add Deal,Undrl. Bid,Undrl. Offer,Impl. Vol,Δ,Category,
13:08:09,4.750,Nov21,Option,Put,Block,200,LN,Henry Hub Eu Fin Option,Nov21 4.750 Put,0.1290,,,,,,,,Natural Gas,
13:08:09,4.500,Nov21,Option,Put,Block,200,LN,Henry Hub Eu Fin Option,Nov21 4.500 Put,0.0720,,,,,,,,Natural Gas,
13:08:09,4.250,Nov21,Option,Put,Block,200,LN,Henry Hub Eu Fin Option,Nov21 4.250 Put,0.0380,,,,,,,,Natural Gas,
13:08:09,4.000,Nov21,Option,Put,Block,200,LN,Henry Hub Eu Fin Option,Nov21 4.000 Put,0.0180,,,,,,,,Natural Gas,
13:03:00,2.750,Jan24,Option,Put,Block,100,LN,Henry Hub Eu Fin Option,Jan24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Feb24,Option,Put,Block,100,LN,Henry Hub Eu Fin Option,Feb24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Mar24,Option,Put,Block,100,LN,Henry Hub Eu Fin Option,Mar24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Apr24,Option,Put,Block,100,LN,Henry Hub Eu Fin Option,Apr24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,May24,Option,Put,Block,100,LN,Henry Hub Eu Fin Option,May24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Jun24,Option,Put,Block,100,LN,Henry Hub Eu Fin Option,Jun24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Jul24,Option,Put,Block,100,LN,Henry Hub Eu Fin Option,Jul24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Aug24,Option,Put,Block,100,LN,Henry Hub Eu Fin Option,Aug24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Sep24,Option,Put,Block,100,LN,Henry Hub Eu Fin Option,Sep24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Oct24,Option,Put,Block,100,LN,Henry Hub Eu Fin Option,Oct24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Nov24,Option,Put,Block,100,LN,Henry Hub Eu Fin Option,Nov24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Dec24,Option,Put,Block,100,LN,Henry Hub Eu Fin Option,Dec24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,4.000,Jan24,Option,Call,Block,100,LN,Henry Hub Eu Fin Option,Jan24 4.000 Call,0.3200,,,,,,,,Natural Gas,
13:03:00,4.000,Feb24,Option,Call,Block,100,LN,Henry Hub Eu Fin Option,Feb24 4.000 Call,0.3200,,,,,,,,Natural Gas,
13:03:00,4.000,Mar24,Option,Call,Block,100,LN,Henry Hub Eu Fin Option,Mar24 4.000 Call,0.3200,,,,,,,,Natural Gas,
13:03:00,4.000,Apr24,Option,Call,Block,100,LN,Henry Hub Eu Fin Option,Apr24 4.000 Call,0.3200,,,,,,,,Natural Gas,
13:03:00,4.000,May24,Option,Call,Block,100,LN,Henry Hub Eu Fin Option,May24 4.000 Call,0.3200,,,,,,,,Natural Gas,
13:03:00,4.000,Jun24,Option,Call,Block,100,LN,Henry Hub Eu Fin Option,Jun24 4.000 Call,0.3200,,,,,,,,Natural Gas,
13:03:00,4.000,Jul24,Option,Call,Block,100,LN,Henry Hub Eu Fin Option,Jul24 4.000 Call,0.3200,,,,,,,,Natural Gas,
13:03:00,4.000,Aug24,Option,Call,Block,100,LN,Henry Hub Eu Fin Option,Aug24 4.000 Call,0.3200,,,,,,,,Natural Gas,
13:03:00,4.000,Sep24,Option,Call,Block,100,LN,Henry Hub Eu Fin Option,Sep24 4.000 Call,0.3200,,,,,,,,Natural Gas,
13:03:00,4.000,Oct24,Option,Call,Block,100,LN,Henry Hub Eu Fin Option,Oct24 4.000 Call,0.3200,,,,,,,,Natural Gas,
13:03:00,4.000,Nov24,Option,Call,Block,100,LN,Henry Hub Eu Fin Option,Nov24 4.000 Call,0.3200,,,,,,,,Natural Gas,
13:03:00,4.000,Dec24,Option,Call,Block,100,LN,Henry Hub Eu Fin Option,Dec24 4.000 Call,0.3200,,,,,,,,Natural Gas,
13:03:00,,Jan24,Future,,Block,66,HP,Henry Hub Look-Alike Fin Future,Jan24,3.2300,,,,,,,,Natural Gas,
13:03:00,,Feb24,Future,,Block,66,HP,Henry Hub Look-Alike Fin Future,Feb24,3.2300,,,,,,,,Natural Gas,
13:03:00,,Mar24,Future,,Block,66,HP,Henry Hub Look-Alike Fin Future,Mar24,3.2300,,,,,,,,Natural Gas,
13:03:00,,Apr24,Future,,Block,66,HP,Henry Hub Look-Alike Fin Future,Apr24,3.2300,,,,,,,,Natural Gas,
13:03:00,,May24,Future,,Block,66,HP,Henry Hub Look-Alike Fin Future,May24,3.2300,,,,,,,,Natural Gas,
13:03:00,,Jun24,Future,,Block,66,HP,Henry Hub Look-Alike Fin Future,Jun24,3.2300,,,,,,,,Natural Gas,
13:03:00,,Jul24,Future,,Block,66,HP,Henry Hub Look-Alike Fin Future,Jul24,3.2300,,,,,,,,Natural Gas,
13:03:00,,Aug24,Future,,Block,66,HP,Henry Hub Look-Alike Fin Future,Aug24,3.2300,,,,,,,,Natural Gas,
13:03:00,,Sep24,Future,,Block,66,HP,Henry Hub Look-Alike Fin Future,Sep24,3.2300,,,,,,,,Natural Gas,
13:03:00,,Oct24,Future,,Block,66,HP,Henry Hub Look-Alike Fin Future,Oct24,3.2300,,,,,,,,Natural Gas,
13:03:00,,Nov24,Future,,Block,66,HP,Henry Hub Look-Alike Fin Future,Nov24,3.2300,,,,,,,,Natural Gas,
13:03:00,,Dec24,Future,,Block,66,HP,Henry Hub Look-Alike Fin Future,Dec24,3.2300,,,,,,,,Natural Gas,
13:03:00,2.750,Jan24,Option,Put,Block,50,LN,Henry Hub Eu Fin Option,Jan24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Feb24,Option,Put,Block,50,LN,Henry Hub Eu Fin Option,Feb24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Mar24,Option,Put,Block,50,LN,Henry Hub Eu Fin Option,Mar24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Apr24,Option,Put,Block,50,LN,Henry Hub Eu Fin Option,Apr24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,May24,Option,Put,Block,50,LN,Henry Hub Eu Fin Option,May24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Jun24,Option,Put,Block,50,LN,Henry Hub Eu Fin Option,Jun24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Jul24,Option,Put,Block,50,LN,Henry Hub Eu Fin Option,Jul24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Aug24,Option,Put,Block,50,LN,Henry Hub Eu Fin Option,Aug24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Sep24,Option,Put,Block,50,LN,Henry Hub Eu Fin Option,Sep24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Oct24,Option,Put,Block,50,LN,Henry Hub Eu Fin Option,Oct24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Nov24,Option,Put,Block,50,LN,Henry Hub Eu Fin Option,Nov24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,2.750,Dec24,Option,Put,Block,50,LN,Henry Hub Eu Fin Option,Dec24 2.750 Put,0.2400,,,,,,,,Natural Gas,
13:03:00,4.000,Jan24,Option,Call,Block,50,LN,Henry Hub Eu Fin Option,Jan24 4.000 Call,0.3200,,,,,,,,Natural Gas,
13:03:00,4.000,Feb24,Option,Call,Block,50,LN,Henry Hub Eu Fin Option,Feb24 4.000 Call,0.3200,,,,,,,,Natural Gas,
